task,psnrA,psnrB
0,30.75664329528809,13.105430603027344
1,30.75664329528809,13.105430603027344
2,30.75664329528809,13.105430603027344
3,30.75664329528809,13.105430603027344
4,30.75664329528809,13.105430603027344
5,30.75664329528809,13.105430603027344
6,30.75664329528809,13.105430603027344
7,30.75664329528809,13.105430603027344
8,30.75664329528809,13.105430603027344
9,30.75664329528809,13.105430603027344
0,30.75664329528809,13.105430603027344
1,30.75664329528809,13.105430603027344
2,30.75664329528809,13.105430603027344
3,30.75664329528809,13.105430603027344
4,30.75664329528809,13.105430603027344
5,30.75664329528809,13.105430603027344
6,30.75664329528809,13.105430603027344
7,30.75664329528809,13.105430603027344
8,30.75664329528809,13.105430603027344
9,30.75664329528809,13.105430603027344
